address,name,page,raw_line
0,New Document                                                                   03/04/2018,2,0                                                         New Document                                                                   03/04/2018
1,LED  Status  Address   has   been  added.  Current sensor and,3,1                                                         LED  Status  Address   has   been  added.  Current sensor and
2,Fault record Trip elements are corrected and Event record Trip messages are,3,2                                                         Fault record Trip elements are corrected and Event record Trip messages are
3,CBF   setting   ranges   are   added   in   protection settings.  Hot  Line tag  is,3,3                                                         CBF   setting   ranges   are   added   in   protection settings.  Hot  Line tag  is
4,5,4,4
5,multiplication    factor    has    been    corrected    in Measurand.   Add   Control,3,5                                                         multiplication    factor    has    been    corrected    in Measurand.   Add   Control
6,Fault Record                                                                                                                                24,4,6      Fault Record                                                                                                                                24
7,Export & positive sign for T.KW-Import.,3,Reg_25024:   Added   negative   sign   for   T.KW-7                                                         Export & positive sign for T.KW-Import.
8,Events                                                                                                                                           27,4,8      Events                                                                                                                                           27
9,Pickup 0-312 Bytes,15,Digital Input 9 Pickup 0-312 Bytes-
10,3.3 Auto Reclose Setting:,12,Protection Settings Group 10
11,Byte,7,Digital Input1 Configuration *Note 11 Byte
12,.702 KV10000-21600V 10000-21600V 1000-15200V 1000-15200V120-4000V,11,12.702 KV10000-21600V 10000-21600V 1000-15200V 1000-15200V120-4000V
13,/07/2018,3,Reg_25028: Added T.KVA value.13/07/2018
14,Pickup 0-312 Bytes,15,Digital Input 14 Pickup 0-312 Bytes -
15,Pickup 0-312 Bytes,15,Digital Input 15 Pickup 0-312 Bytes -
16,/11/2020,3,16/11/2020
17,………………………………… ..…20,39,17
19,/11/2018,3,19/11/2018
20,…………………………………… ..23,39,………………………………… ..…20
21,Byte,7,DeadLine-21 Byte
23,4      Commands                                                                                                                                   23,4,…………………………………… ..23
24,26,39,24
25,10000 2 Bytes,10,Over Voltage Time Multiplier (S) 25-10000 2 Bytes
26,27,39,26
27,The  communication  between  the  Master  and  Slave  (Relay)  is  established  using  the  following parameters. The following parameters,39,27
28,/07/2018,3,28/07/2018
31,/7/2018,3,31/7/2018
32,Bytes,16,R Phase IDMT/DTL Start *Note 32 Bytes -
40,1200V40-1200V,46,40-1200V40-1200V
50,600002 Bytes,12,(S)50-600002 Bytes
59,0-992 Bytes,19,Digital Input1 Pickup Milliseconds0-59
60,A3-120 A3-1800 A 3-120 A3-1800 A 3-120 A,11,60 A3-120 A3-1800 A 3-120 A3-1800 A 3-120 A
120,4000V120-4000V,46,120-4000V120-4000V
180,6000V180-6000V,46,180-6000V180-6000V
250,A10-500 A10-7500 A 10-500 A10-7500 A 10-500 A,11,250 A10-500 A10-7500 A 10-500 A10-7500 A 10-500 A
312,Bytes,14,Start0-312 Bytes-
592,Bytes,13,Minutes0-592 Bytes
750,A30-1500 A30-22500 A 30-1500 A30-22500 A 30-1500 A,11,750 A30-1500 A30-22500 A 30-1500 A30-22500 A 30-1500 A
992,Bytes,13,Milliseconds0-992 Bytes
1000,30002 Bytes,14,AGBD Time (S) 1000-30002 Bytes
1200,", 2400 , 4800 , 9600 , 19200",4,"Baud Rate 1200 , 2400 , 4800 , 9600 , 19200"
25001,1,29,25001 1
25002,1,29,25002 1
25003,1,29,25003 1
25004,1,29,25004 1
25005,1,29,25005 1
25006,1,29,25006 1
25007,1,29,25007 1
25008,1,29,25008 1
25009,1Event Register D -2 Bytes,29,25009 1Event Register D -2 Bytes-
25010,1,30,25010 1
25011,1,30,25011 1
25012,1,30,25012 1
25013,1,30,25013 1
25024,0.001,7,25024 0.001
25026,0.001,7,25026 0.001
25028,0.001,7,25028 0.001
40001,0.001,4,40001 0.001
40003,0.0013.4   Cold Load Settings …………………………………… ..11,4,40003 0.0013.4   Cold Load Settings …………………………………… ..11
40005,0.001,5,40005 0.001
40007,0.001,5,40007 0.001
40009,0.001,5,40009 0.001
40011,0.001,5,40011 0.001
40013,0.001,5,40013 0.001
40015,0.001,5,40015 0.001
40017,0.001,5,40017 0.001
40019,0.001,5,40019 0.001
40021,0.001,5,40021 0.001
40023,0.0001,5,40023 0.0001
40025,0.0001,5,40025 0.0001
40027,0.0001,5,40027 0.0001
40029,0.0001,5,40029 0.0001
40031,0.0001,5,40031 0.0001
40033,0.0001,5,40033 0.0001
40035,0.0001,5,40035 0.0001
40037,0.0001,5,40037 0.0001
40039,0.0001,5,40039 0.0001
40041,0.0001,5,40041 0.0001
40043,0.0001,5,40043 0.0001
40045,0.0001,5,40045 0.0001
40047,0.0001,5,40047 0.0001
40049,0.001,5,40049 0.001
40051,0.001,5,40051 0.001
40053,0.001,5,40053 0.001
40055,0.001,5,40055 0.001
40057,0.001,5,40057 0.001
40059,0.001,5,40059 0.001
40061,0.001,5,40061 0.001
40063,0.001,5,40063 0.001
40065,0.001,5,40065 0.001
40067,0.001,5,40067 0.001
40069,0.001,5,40069 0.001
40071,0.001,5,40071 0.001
40073,0.001,5,40073 0.001
40075,0.001,5,40075 0.001
40077,0.001,5,40077 0.001
40079,0.001,5,40079 0.001
40081,0.001,5,40081 0.001
40083,0.001,5,40083 0.001
40085,0.001,5,40085 0.001
40087,0.001,5,40087 0.001
40089,0.001,5,40089 0.001
40091,0.001,5,40091 0.001
40093,0.001B Phase Protection Current -4 Bytes,5,40093 0.001B Phase Protection Current -4 Bytes-
40095,0.001,6,40095 0.001
40097,0.001,6,40097 0.001
40099,0.001,6,40099 0.001
40101,0.001,6,40101 0.001
40103,0.001,6,40103 0.001
40105,0.001,6,40105 0.001
40107,0.001,6,40107 0.001
40109,0.001,6,40109 0.001
40111,0.001,6,40111 0.001
40113,0.001,6,40113 0.001
40115,0.001,6,40115 0.001
40117,0.001,6,40117 0.001
40119,0.001,6,40119 0.001
40121,0.001,6,40121 0.001
40123,0.001,6,40123 0.001
40125,0.001,6,40125 0.001
40127,0.001,6,40127 0.001
40129,0.001,6,40129 0.001
40131,0.001,6,40131 0.001
40133,0.001,6,40133 0.001
40135,0.001,6,40135 0.001
40137,0.001,6,40137 0.001
40139,0.001,6,40139 0.001
40141,0.001,6,40141 0.001
40143,0.001,6,40143 0.001
40145,0.001,6,40145 0.001
40147,0.001,6,40147 0.001
40149,0.001,6,40149 0.001
40151,0.001,6,40151 0.001
40153,0.001,6,40153 0.001
40155,0.001,6,40155 0.001
40157,0.001,6,40157 0.001
40159,0.001,6,40159 0.001
40161,0.001,6,40161 0.001
40163,0.001,6,40163 0.001
40165,0.001,6,40165 0.001
40167,0.001,6,40167 0.001
40169,0.001,6,40169 0.001
40171,0.001,6,40171 0.001
40173,0.001,6,40173 0.001
40175,0.001,6,40175 0.001
40177,0.001,6,40177 0.001
40179,0.001,6,40179 0.001
40181,0.001,6,40181 0.001
40183,0.001B Phase KVAR Reverse Lag -4 Bytes,6,40183 0.001B Phase KVAR Reverse Lag -4 Bytes-
40185,0.001,7,40185 0.001
40187,0.001,7,40187 0.001
40189,0.001,7,40189 0.001
40191,0.001,7,40191 0.001
40193,0.001,7,40193 0.001
40195,0.001,7,40195 0.001
40197,0.001,7,40197 0.001
40199,0.001,7,40199 0.001
40201,0.01,7,40201 0.01
40203,1,7,40203 1
40205,1,7,40205 1
40207,1,7,40207 1
40209,1,7,40209 1
40211,1,7,40211 1
40213,1,7,40213 1
40215,1,7,40215 1
40217,1,7,40217 1
40219,1 1,25,40219 1 1
40220,2 1,25,40220 2 1
40221,2 1,25,40221 2 1
40222,2 1,25,40222 2 1
40223,2 1,25,40223 2 1
40224,2 1,25,40224 2 1
40225,2 1,25,40225 2 1
40226,2 1,25,40226 2 1
40227,2 1,25,40227 2 1
40228,2 1,25,40228 2 1
40229,2 1,25,40229 2 1
40230,2 1Push Button1 DropOff Protection,25,40230 2 1Push Button1 DropOff Protection
40281,1,26,40281 1
40282,1,26,40282 1
40283,1,26,40283 1
40284,Identifier -16 Bytes,7,40284-Identifier -16 Bytes-
40299,40300 11,7,40299
40300,11,7,40300 11
40301,11,7,40301 11
40302,11,7,40302 11
40303,11,7,40303 11
40304,11,7,40304 11
40305,11,7,40305 11
40306,11,7,40306 11
40307,11,7,40307 11
40308,11,7,40308 11
40309,11,7,40309 11
40310,11MD Apparent Power Reverse -4 Bytes,7,40310 11MD Apparent Power Reverse -4 Bytes-
40311,11,8,40311 11
40312,11,8,40312 11
40313,11,8,40313 11
40314,11,8,40314 11
40315,11,8,40315 11
40316,11,8,40316 11
40317,11,8,40317 11
40318,11,8,40318 11
40319,11,8,40319 11
40320,11,8,40320 11
40321,11,8,40321 11
40322,11,8,40322 11
40323,11,8,40323 11
40324,11,8,40324 11
40325,11,8,40325 11
40326,11,8,40326 11
40327,11,9,40327 11
40328,11,9,40328 11
40329,10.001,9,40329 10.001
40330,10.01Note 1,9,40330 10.01Note 1:
40331,11,10,40331 11
40332,10.001,10,40332 10.001
40333,11,10,40333 11
40334,11,10,40334 11
40335,11,10,40335 11
40336,10.001,10,40336 10.001
40337,10.01,10,40337 10.01
40338,11,10,40338 11
40339,10.001,10,40339 10.001
40340,11,10,40340 11
40341,11,10,40341 11
40342,11,10,40342 11
40343,10.01,10,40343 10.01
40344,11,10,40344 11
40345,10.01,10,40345 10.01
40346,11,10,40346 11
40347,11,10,40347 11
40348,10.01,10,40348 10.01
40349,10.01,10,40349 10.01
40350,11,10,40350 11
40351,10.01,10,40351 10.01
40352,11,10,40352 11
40353,11,10,40353 11
40354,11,10,40354 11
40355,10.01,10,40355 10.01
40356,10.01,10,40356 10.01
40357,11Phase Wideset (A) Depends upon the,10,40357 11Phase Wideset (A) Depends upon the
40358,10.01,11,40358 10.01
40359,11,11,40359 11
40360,11,11,40360 11
40361,11,11,40361 11
40362,10.01,11,40362 10.01
40363,10.01,11,40363 10.01
40364,11,11,40364 11
40365,10.01,11,40365 10.01
40366,11,11,40366 11
40367,40406,11,40367 40406
40406,40446,46,40406
40407,40446,11,40407 40446
40446,40486,46,40446
40447,40486,11,40447 40486
40486,40526,46,40486
40487,40526,11,40487 40526
40526,40566,46,40526
40527,40566,11,40527 40566
40566,40606,46,40566
40567,40606,11,40567 40606
40606,40646R-W,46,40606
40607,40646Under Voltage Stage2,11,40607 40646Under Voltage Stage2
40647,40686,12,40647 40686
40686,40726,47,40686
40687,40726,12,40687 40726
40726,1,47,40726
40727,11,12,40727 11
40728,10.01,12,40728 10.01
40729,10.01,12,40729 10.01
40730,10.01,12,40730 10.01
40731,10.01,12,40731 10.01
40732,10.01,12,40732 10.01
40733,10.01,12,40733 10.01
40734,10.01,12,40734 10.01
40735,10.01,12,40735 10.01
40736,10.01,12,40736 10.01
40737,10.01,12,40737 10.01
40738,10.01,12,40738 10.01
40739,10.01,12,40739 10.01
40740,10.01,12,40740 10.01
40741,10.01,12,40741 10.01
40742,1,12,40742 1
40743,1,12,40743 1
40744,1,12,40744 1
40745,1,12,40745 1
40746,1,12,40746 1
40747,1,12,40747 1
40748,1,12,40748 1
40749,1Protection Settings Group 9,12,40749 1Protection Settings Group 9
40750,11,13,40750 11
40751,11,13,40751 11
40752,11,13,40752 11
40753,11,13,40753 11
40754,11,13,40754 11
40755,11,13,40755 11
40756,11,13,40756 11
40757,11,13,40757 11
40758,11,13,40758 11
40759,11,13,40759 11
40760,11,13,40760 11
40761,11,13,40761 11
40762,11,13,40762 11
40763,11,13,40763 11
40764,11,13,40764 11
40765,11,13,40765 11
40766,11,13,40766 11
40767,11,13,40767 11
40768,11,13,40768 11
40769,10.01AddressRegister Name RangeRegister,13,40769 10.01AddressRegister Name RangeRegister
40770,11,14,40770 11
40771,10.01,14,40771 10.01
40772,11,14,40772 11
40773,1,14,40773 1
40774,1,14,40774 1
40775,1,14,40775 1
40776,1,14,40776 1
40777,1,14,40777 1
40778,1,14,40778 1
40779,1,14,40779 1
40780,1,14,40780 1
40781,1,14,40781 1
40782,1,14,40782 1
40783,1,14,40783 1
40784,1,14,40784 1
40785,1,14,40785 1
40786,1,14,40786 1
40787,1,14,40787 1
40788,1,14,40788 1
40789,1,14,40789 1
40790,1,14,40790 1
40791,1,14,40791 1
40792,1,14,40792 1
40793,1,14,40793 1
40794,1,14,40794 1
40795,1,14,40795 1
40796,1,14,40796 1
40797,1,14,40797 1
40798,1,14,40798 1
40799,1,14,40799 1
40800,1,14,40800 1
40801,1,14,40801 1
40802,1,14,40802 1
40803,1Auto Direction,14,40803 1Auto Direction
40804,1,15,40804 1
40805,1,15,40805 1
40806,1,15,40806 1
40807,1,15,40807 1
40808,1,15,40808 1
40809,1,15,40809 1
40810,1,15,40810 1
40811,1,15,40811 1
40812,1,15,40812 1
40813,1,15,40813 1
40814,1,15,40814 1
40815,1,15,40815 1
40816,1,15,40816 1
40817,1,15,40817 1
40818,1,15,40818 1
40819,1,15,40819 1
40820,1,15,40820 1
40821,1,15,40821 1
40822,1,15,40822 1
40823,1,15,40823 1
40824,1,15,40824 1
40825,1,15,40825 1
40826,1,15,40826 1
40827,1,15,40827 1
40828,1,15,40828 1
40829,1,15,40829 1
40830,1,15,40830 1
40831,1,15,40831 1
40832,1,15,40832 1
40833,1,15,40833 1
40834,1,15,40834 1
40835,1,15,40835 1
40836,1,15,40836 1
40837,1,15,40837 1
40838,1,15,40838 1
40839,1,15,40839 1
40840,1,15,40840 1
40841,1,15,40841 1
40842,1,15,40842 1
40843,1,15,40843 1
40844,1,15,40844 1
40845,1Reclaim Time 0-312 Bytes,15,40845 1Reclaim Time 0-312 Bytes-
40846,11,16,40846 11
40847,1,16,40847 1
40848,1,16,40848 1
40849,1,16,40849 1
40850,1,16,40850 1
40851,1,16,40851 1
40852,1,16,40852 1
40853,1,16,40853 1
40854,1,16,40854 1
40855,1,16,40855 1
40856,1,16,40856 1
40857,1,16,40857 1
40858,1,16,40858 1
40859,1,16,40859 1
40860,1,16,40860 1
40861,1,16,40861 1
40862,1,16,40862 1
40863,1,16,40863 1
40864,1,16,40864 1
40865,1,16,40865 1
40866,1,16,40866 1
40867,1,16,40867 1
40868,1,16,40868 1
40869,1,16,40869 1
40870,1,16,40870 1
40871,1,16,40871 1
40872,1,16,40872 1
40873,1,16,40873 1
40874,1,16,40874 1
40875,1,16,40875 1
40876,1,16,40876 1
40877,1,16,40877 1
40878,1,16,40878 1
40879,1,16,40879 1
40880,1,16,40880 1
40881,1,16,40881 1
40882,1,16,40882 1
40883,1,16,40883 1
40884,1,16,40884 1
40885,1,16,40885 1
40886,1,16,40886 1
40887,1Address Register Name RangeRegister,16,40887 1Address Register Name RangeRegister
40888,1,17,40888 1
40889,1,17,40889 1
40890,1,17,40890 1
40891,1,17,40891 1
40892,1,17,40892 1
40893,1,17,40893 1
40894,1,17,40894 1
40895,1,17,40895 1
40896,1,17,40896 1
40897,1,17,40897 1
40898,1,17,40898 1
40899,1,17,40899 1
40900,1,17,40900 1
40901,1,17,40901 1
40902,1,17,40902 1
40903,1,17,40903 1
40904,1,17,40904 1
40905,1,17,40905 1
40906,1,17,40906 1
40907,1,17,40907 1
40908,1,17,40908 1
40909,1,17,40909 1
40910,1,17,40910 1
40911,1,17,40911 1
40912,1,17,40912 1
40913,1,17,40913 1
40914,1,17,40914 1
40915,1,17,40915 1
40916,1,17,40916 1
40917,1,17,40917 1
40918,1,17,40918 1
40919,1,17,40919 1
40920,1,17,40920 1
40921,1,17,40921 1
40922,1,17,40922 1
40923,1,17,40923 1
40924,1,17,40924 1
40925,1,17,40925 1
40926,1,17,40926 1
40927,1,17,40927 1
40928,1RN UV Stage 2 Trip *Note 32 Bytes,17,40928 1RN UV Stage 2 Trip *Note 32 Bytes-
40929,1,18,40929 1
40930,1,18,40930 1
40931,1,18,40931 1
40932,1,18,40932 1
40933,1,18,40933 1
40934,1,18,40934 1
40935,1,18,40935 1
40936,1,18,40936 1
40937,1,18,40937 1
40938,1,18,40938 1
40939,1,18,40939 1
40940,1,18,40940 1
40941,1,18,40941 1
40942,1,18,40942 1
40943,1,18,40943 1
40944,1,18,40944 1
40945,1,18,40945 1
40946,1,18,40946 1
40947,1,18,40947 1
40948,1,18,40948 1
40949,1,18,40949 1
40950,1,18,40950 1
40951,1,18,40951 1
40952,1,18,40952 1
40953,1,18,40953 1
40954,1,18,40954 1
40955,1,18,40955 1
40956,1,18,40956 1
40957,1,18,40957 1
40958,1,18,40958 1
40959,1,18,40959 1
40960,1,18,40960 1
40961,1,18,40961 1
40962,1Digital Input 10 Pickup *Note 32 Bytes,18,40962 1Digital Input 10 Pickup *Note 32 Bytes-
40963,11,19,40963 11
40964,11,19,40964 11
40965,11,19,40965 11
40966,11,19,40966 11
40967,11,19,40967 11
40968,11,19,40968 11
40969,11,19,40969 11
40970,11,19,40970 11
40971,11,19,40971 11
40972,1 1,19,40972 1 1
40973,1 1,19,40973 1 1
40974,1 1,19,40974 1 1
40975,1 1,19,40975 1 1
40976,1 1,19,40976 1 1
40977,1 1,19,40977 1 1
40978,1 1Note 3.1,19,40978 1 1Note 3.1:
40979,1 1,20,40979 1 1
40980,1 1,20,40980 1 1
40981,1 1,20,40981 1 1
40982,1 1,20,40982 1 1
40983,1 1,20,40983 1 1
40984,1 1,20,40984 1 1
40985,1 1,20,40985 1 1
40986,1 1,20,40986 1 1
40987,1 1,20,40987 1 1
40988,1 1,20,40988 1 1
40989,1 1,20,40989 1 1
40990,1 1,20,40990 1 1
40991,1 1,20,40991 1 1
40992,11,20,40992 11
40993,1 1,20,40993 1 1
40994,1 1,20,40994 1 1
40995,1 1,20,40995 1 1
40996,1 1,20,40996 1 1
40997,11,20,40997 11
40998,11,20,40998 11
40999,11,20,40999 11
41000,11Digital Input5 Pickup Hours,20,41000 11Digital Input5 Pickup Hours
41001,11,21,41001 11
41002,11,21,41002 11
41003,11,21,41003 11
41004,11,21,41004 11
41005,11,21,41005 11
41006,11,21,41006 11
41007,11,21,41007 11
41008,11,21,41008 11
41009,11,21,41009 11
41010,11,21,41010 11
41011,11,21,41011 11
41012,11,21,41012 11
41013,11,21,41013 11
41014,11,21,41014 11
41015,11,21,41015 11
41016,11,21,41016 11
41017,11,21,41017 11
41018,11,21,41018 11
41019,11,21,41019 11
41020,11,21,41020 11
41021,11,21,41021 11
41022,11Digital Input10 DropOff  Hours,21,41022 11Digital Input10 DropOff  Hours
41023,11,22,41023 11
41024,11,22,41024 11
41025,11,22,41025 11
41026,11,22,41026 11
41027,11,22,41027 11
41028,11,22,41028 11
41029,11,22,41029 11
41030,11,22,41030 11
41031,41032,22,41031
41032,41033,22,41032
41033,41034,22,41033
41034,41035,22,41034
41035,41036,22,41035
41036,41037,22,41036
41037,41038,22,41037
41038,41039,22,41038
41039,41040,22,41039
41040,41041,22,41040
41041,41042,22,41041
41042,41043,22,41042
41043,41044,22,41043
41044,41045,22,41044
41045,41046,22,41045
41046,41047,22,41046
41047,41048,22,41047
41048,41049,22,41048
41049,41050,22,41049
41050,41051Push Button1 Pickup Hours,22,41050
41052,41053,23,41052
41053,41054,23,41053
41054,41055,23,41054
41055,41056,23,41055
41056,41057,23,41056
41057,41058,23,41057
41058,41059,23,41058
41059,41060,23,41059
41060,41061,23,41060
41061,41062,23,41061
41062,41063,23,41062
41063,41064,23,41063
41064,41065,23,41064
41065,41066,23,41065
41066,41067,23,41066
41067,41068,23,41067
41068,41069,23,41068
41069,41070,23,41069
41070,41071,23,41070
41071,41072,23,41071
41072,41073,23,41072
41073,41074,23,41073
41074,41075,23,41074
41075,41076,23,41075
41076,41077,23,41076
41077,41078,23,41077
41078,41079,23,41078
41079,41080,23,41079
41080,41081,23,41080
41081,41082,23,41081
41082,41083,23,41082
41083,41084,23,41083
41084,41085,23,41084
41085,41086,23,41085
41086,41087,23,41086
41087,41088Digital Input4 DropOff Protection 0-1FFF2 Bytes--,23,41087
41089,41090,24,41089
41090,41091,24,41090
41091,41092,24,41091
41092,41093,24,41092
41093,41094,24,41093
41094,41095,24,41094
41095,41096,24,41095
41096,41097,24,41096
41097,41098,24,41097
41098,41099,24,41098
41099,41100,24,41099
41100,41101,24,41100
41101,41102,24,41101
41102,41103,24,41102
41103,41104,24,41103
41104,41105,24,41104
41105,41106,24,41105
41106,41107,24,41106
41107,41108,24,41107
41108,41109,24,41108
41109,41110,24,41109
41110,41111,24,41110
41111,41112,24,41111
41112,41113,24,41112
41113,41114,24,41113
41114,41115,24,41114
41115,41116,24,41115
41116,41117,24,41116
41117,41118,24,41117
41118,41119,24,41118
41119,41120,24,41119
41120,41121,24,41120
41121,41122,24,41121
41122,41123Digital Input10 DropOff DI Block 0-7DFF2 Bytes--,24,41122
41124,41125,25,41124
41125,41126,25,41125
41126,41127,25,41126
41127,41128,25,41127
41128,41129,25,41128
41129,41130,25,41129
41130,41131,25,41130
41131,41132,25,41131
41132,41133,25,41132
41133,41134 1,25,41133
41134,1,25,41134 1
41135,1,25,41135 1
41136,1,25,41136 1
41137,1,25,41137 1
41138,1,25,41138 1
41139,1,25,41139 1
41140,1,25,41140 1
41141,1,25,41141 1
41142,11,8,41142 11
41143,11,8,41143 11
41144,11,8,41144 11
41145,11,8,41145 11
41146,11,8,41146 11
41147,11,8,41147 11
41148,11,8,41148 11
41149,11,8,41149 11
41150,11,8,41150 11
41151,11,8,41151 11
41152,11,8,41152 11
41153,11,8,41153 11
41154,11,8,41154 11
41155,11,8,41155 11
41156,11Digital Input2 Configuration *Note 11 Byte,8,41156 11Digital Input2 Configuration *Note 11 Byte
41201,41202R Phase Fault Current -4 Bytes,26,41201-41202R Phase Fault Current -4 Bytes-
41203,41204Y Phase Fault Current -4 Bytes,26,41203-41204Y Phase Fault Current -4 Bytes-
41205,41206B Phase Fault Current -4 Bytes,26,41205-41206B Phase Fault Current -4 Bytes-
41207,41208Earth Fault Current -4 Bytes,26,41207-41208Earth Fault Current -4 Bytes-
41209,41210Sensitive Earth Fault Current -4 Bytes,26,41209-41210Sensitive Earth Fault Current -4 Bytes-
41211,41212I1 Positive Sequence Current -4 Bytes,26,41211-41212I1 Positive Sequence Current -4 Bytes-
41213,41214I2 Negative Sequence Current -4 Bytes,26,41213-41214I2 Negative Sequence Current -4 Bytes-
41215,41216I0 Zero Sequence Current -4 Bytes,26,41215-41216I0 Zero Sequence Current -4 Bytes-
41217,41218R Phase Fault Voltage -4 Bytes,26,41217-41218R Phase Fault Voltage -4 Bytes-
41219,41220Y Phase Fault Voltage -4 Bytes,26,41219-41220Y Phase Fault Voltage -4 Bytes-
41221,41222B Phase Fault Voltage -4 Bytes,26,41221-41222B Phase Fault Voltage -4 Bytes-
41223,41224Residual Fault Voltage -4 Bytes,26,41223-41224Residual Fault Voltage -4 Bytes-
41225,41226V1 Positive Sequence Voltage -4 Bytes,26,41225-41226V1 Positive Sequence Voltage -4 Bytes-
41227,41228V2 Negative Sequence Voltage -4 Bytes,26,41227-41228V2 Negative Sequence Voltage -4 Bytes-
41229,41230V0 Zero Sequence Voltage -4 Bytes,26,41229-41230V0 Zero Sequence Voltage -4 Bytes-
41231,1,26,41231 1
41232,1,26,41232 1
41233,1,26,41233 1
41234,1,26,41234 1
41235,1,26,41235 1
41236,1,26,41236 1
41237,1,26,41237 1
41238,1,26,41238 1
41239,1,26,41239 1
41240,1,26,41240 1
41241,1,26,41241 1
41242,15 TIME SYNCHRONIZATION,26,41242 15 TIME SYNCHRONIZATION:
45267,1,29,45267 1
45602,1,28,45602 1
45603,1,28,45603 1
45604,1,28,45604 1
45605,1C2-   Inv UV1 Type,28,45605 1C2-   Inv UV1 Type
45606,1,29,45606 1
45607,1,29,45607 1
45608,1,29,45608 1
45609,1,29,45609 1
45610,1,29,45610 1
45611,1,29,45611 1
45612,1,29,45612 1
45613,1,29,45613 1
45614,1,29,45614 1
45615,1,29,45615 1
45616,1,29,45616 1
45617,1,29,45617 1
45618,1,29,45618 1
45619,1,29,45619 1
45620,1,29,45620 1
45621,1,29,45621 1
45622,1,29,45622 1
45623,1,29,45623 1
45624,1,29,45624 1
45625,1,29,45625 1
45626,1,29,45626 1
45628,1,29,45628 1
45629,1,29,45629 1
45630,1,29,45630 1
45631,1,29,45631 1
45632,1,29,45632 1
45633,45634Future -4 Bytes,29,45633-45634Future -4 Bytes--
